HGNC	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S40	S41	S42	S43	S44	S45	S46	S47	S48	S49	S50	S51	S52	S53	S54	S55	S56	S57
STEAP1	2.996724	2.299506	1.886867	0.9893696	3.324803	2.321783	4.62816	5.011563	6.435736	2.725946	2.131148	2.390773	-0.08607395	3.220212	3.330366	3.491084	4.938888	3.891977	3.475518	1.820605	1.275038	3.02804	1.619555	-0.4654519	3.982499	3.472374	0.6765462	5.01518	2.15069	4.373022	1.58215	3.002114	1.20891	3.465251	2.82303	1.291692	0.43401	1.226843	1.515097	3.020054	1.797754	-0.09605081	2.619331	1.171226	1.877717	0.5042719	3.034438	1.85505	2.526456	1.344827	0.5771493	1.181751	0.3153177	-0.6666499	7.353148	1.444977	0.13566
COL1A2	6.378243	8.078725	6.78559	5.281803	7.666303	7.830453	7.473888	7.53891	10.05297	7.176225	9.20606	5.572231	5.12121	8.508819	8.1142	9.826606	10.63233	7.344445	7.11632	8.676748	6.375603	7.340516	7.5418	5.072313	11.59895	6.762355	7.51045	7.073756	6.780824	7.695126	7.066542	6.038359	6.1678	8.86515	8.996907	5.9066	4.466416	5.558751	4.937866	7.312906	8.223244	3.438439	9.613351	5.979805	6.713561	8.019402	6.101401	5.34015	9.649852	7.217324	6.352784	2.974484	4.342098	5.936045	10.26469	7.414118	6.244136
DEFB1	2.915547	11.75641	8.471606	0.7237205	-0.4764572	3.078008	4.449009	1.670863	2.20669	1.060959	7.819916	4.071718	0.414642	6.782457	1.633111	-0.3588277	7.165108	4.759995	3.610029	5.71775	0.3750376	1.53714	6.167113	2.732496	2.880561	6.638274	3.145993	1.19937	4.80555	5.856148	11.02932	1.929655	-1.314543	-0.123024	4.772539	3.034572	-1.303546	1.207749	1.844968	-0.844383	2.235914	-1.241487	2.124483	-0.3975014	1.296278	1.003567	-1.210867	-0.8516471	0.1303375	-0.500038	0.4765175	0.04481351	1.080556	-1.24361	4.736665	-0.6926988	-0.6600125
ALDH1A1	8.855787	7.870563	4.70887	7.506015	4.729381	9.649455	12.29293	10.65095	5.661528	8.087795	5.202052	7.705452	5.740112	0.8490482	6.069792	6.664267	9.699519	11.31061	2.769108	4.732759	6.687474	8.573619	8.53924	2.313598	5.633692	8.476261	3.920156	11.09918	6.82443	7.48783	12.93883	6.85838	8.158447	6.854616	8.985733	8.20626	6.667755	11.2484	3.189065	8.037424	2.710772	7.821378	5.635667	7.491427	10.15763	7.41252	11.74343	11.78132	5.895287	9.044372	9.732908	8.023535	7.805202	9.854066	3.312035	7.974007	7.295506
NUDT5	5.179606	6.427151	5.924838	5.669404	4.751986	4.479706	4.496534	5.080049	5.808108	4.567612	5.77244	6.947382	5.493819	6.357962	6.666403	4.96496	5.882609	5.335303	6.582079	5.757711	6.02123	5.310985	6.425448	6.105094	5.529413	6.025997	5.495201	5.762364	4.991673	5.779293	5.705462	5.385618	5.246629	4.162612	4.673619	5.640768	4.766261	4.170862	3.906853	4.723384	5.440805	5.588846	4.195624	4.935313	5.52413	4.310784	4.500816	4.958951	4.297746	5.68451	5.508507	5.147631	4.851234	4.890716	4.709023	4.181115	5.393536
KLK4	1.658305	1.93573	1.469726	1.893251	1.052232	2.593378	1.665742	1.724689	0.3781742	2.851643	3.327109	2.669233	3.388676	5.007256	0.1397072	5.891775	0.9971741	1.173852	2.032394	1.363487	2.073352	1.839578	1.241555	2.43787	0.5625859	0.4340822	2.065152	1.958664	0.6410255	1.857943	4.272458	1.036871	-0.6688899	-1.177809	-0.3564923	-0.8200584	-1.064744	-1.126861	0.2410829	-0.3023835	-0.8767298	-0.922775	-0.7858476	0.7050541	-0.2814647	0.4338361	0.0855991	-0.2579132	-0.4910211	-0.6243043	-0.7823815	0.3175713	-0.1587564	-0.5810646	4.350697	-0.09535538	-0.818285
ENTPD3	1.479878	3.457825	0.4971021	2.076456	0.4435321	1.258078	0.9765769	0.1637609	0.7602207	1.379771	3.294914	0.760447	1.985836	0.04403104	0.4031745	0.5968724	0.3356318	0.8688408	-0.4576678	1.559218	1.092082	1.161263	1.33485	1.550148	3.449136	0.4333571	1.029852	-0.1341945	0.2504311	1.654679	1.012188	0.236456	0.1950208	0.7441693	3.56515	6.324493	1.429964	1.526274	3.201557	1.482589	-0.9583689	1.019106	1.662431	1.583032	0.8053598	1.513231	2.078359	2.349818	1.12958	-0.09750887	2.331118	3.036937	1.845624	5.008118	0.9912915	1.260528	7.512916
HR	5.695458	-0.08516475	2.504361	3.838277	4.409321	0.6146073	2.948968	4.144034	2.156765	3.278773	1.38334	3.011251	6.201545	2.298444	0.824431	4.39235	0.3425893	4.268654	3.925246	1.377512	0.3027969	6.216759	5.48163	5.239493	1.69285	3.51017	0.6244909	1.686325	3.827687	3.248022	1.70421	7.089685	3.71375	3.692483	3.355797	2.770945	2.219862	4.664689	1.235801	2.989635	-0.5713586	4.051421	3.671845	0.6692627	0.03168863	0.8665499	2.314898	2.435462	0.2596241	1.866665	0.5588669	-0.9319774	0.7170258	0.8892377	3.683748	3.227378	-0.2838763
CTRB1	-0.4625127	2.70856	2.718444	2.10012	2.386978	1.64783	7.515082	0.8783768	3.681791	0.378243	8.109298	0.8480842	3.942508	2.717485	0.3826827	-0.7912448	6.549239	4.790082	0.4545365	1.277302	2.780726	3.359515	3.021554	1.365892	1.881667	9.740822	5.368892	2.123912	3.331524	3.643561	4.806484	0.9302536	2.116229	-0.8584352	3.804096	3.587769	0.1022655	-1.126861	0.165752	-0.777868	-1.483013	1.005364	1.510057	-1.234963	-1.128962	3.16859	0.7598202	0.7333554	-0.7318013	-0.5668422	4.680865	0.8192958	-0.8277096	-1.24361	1.051285	4.923618	0.6486779
GRM5	-0.5297448	-0.398447	0.01799199	0.03993366	-0.4070173	-0.7376856	-0.6867334	-0.1398631	-0.1533996	-0.6804924	-0.3102883	-0.02360248	-0.159744	-0.3083247	0.04578678	-0.7537134	-0.09446099	0.3629823	-0.5179609	0.195693	0.4042446	-0.1995359	0.2467016	-0.6796816	-0.2980592	-0.2644824	-0.7781889	-0.4471806	-0.4425557	-0.05657849	0.08563423	0.3787012	-1.154494	-1.169856	-0.5815751	-0.8561048	-1.303546	-1.025059	3.63631	-0.3360132	-0.02203022	-1.083156	-0.9703861	-1.427385	-1.155786	-0.9807466	-1.210867	-1.222049	-0.413927	-0.9708336	-0.8276767	1.212691	-0.7268748	-1.20659	-0.129729	-0.9272591	1.895612
EFNA1	6.472875	6.619069	4.042948	6.787221	7.477592	5.883369	5.662571	5.923785	6.214171	4.969386	6.694701	5.307041	6.076723	3.654985	3.990399	5.793424	6.059291	6.712865	6.453511	5.177559	9.324611	7.515442	6.028307	6.061863	5.177193	7.544741	2.927296	5.599582	6.667987	6.531492	5.515618	6.062177	5.44961	7.28464	5.410727	3.240275	4.607043	5.087103	4.240742	6.574379	2.775087	4.705334	7.507298	4.33271	6.397497	4.526868	4.805477	4.514538	5.956596	5.481482	5.548112	2.247424	5.112723	5.201222	5.824383	6.028244	3.205621
GP2	4.385806	10.18277	1.111462	0.4011112	0.4990175	0.1617752	5.409018	0.8544439	1.780801	0.1508866	3.625323	7.742825	1.124459	1.030129	0.1743525	0.5724964	3.391156	2.249857	4.666466	0.7916604	1.356658	4.526768	0.7788627	-0.01187368	1.860147	5.820744	2.393381	0.3694818	3.143553	1.404451	10.23534	0.8860303	1.035929	0.01426893	0.8831646	2.04697	1.134822	0.9572081	1.198603	-0.667276	2.806687	0.6595185	1.510303	0.9038434	-0.6427479	3.15151	0.4797742	0.3272341	1.149635	-0.02181103	4.539956	0.6171229	0.8659555	-0.1591095	2.449822	4.562833	0.5416555
TM4SF4	7.619856	3.365506	0.4132706	9.197108	9.279546	11.94056	9.978318	9.992209	2.367839	5.901865	7.268506	0.3643392	8.171051	0.1599243	2.268944	3.016531	8.565897	10.05659	2.969608	2.341765	7.870764	7.45821	3.848608	2.70913	3.43421	9.677305	3.697929	10.71499	10.13204	3.958732	7.546702	8.738581	6.459679	3.32771	6.682187	4.089162	1.121701	10.36663	6.263727	9.469545	2.078111	2.772434	8.228032	9.894964	11.36932	7.189965	11.44796	10.19425	7.436027	9.521898	10.45047	2.249415	9.569976	10.59667	0.6821533	8.171328	0.4118364
TM4SF1	5.072311	8.128355	4.401643	3.885358	5.332807	3.002535	5.370847	7.408988	3.684711	4.074917	7.311756	3.927738	4.507941	5.098563	7.886475	3.572248	7.40576	5.023228	6.587854	7.437103	3.785885	6.034072	4.198701	6.164537	6.457679	5.764341	4.421678	4.044642	6.49773	6.346987	7.066045	3.495223	3.752097	7.676061	5.103096	5.333715	4.270273	4.189498	3.717519	6.057298	4.552105	3.981038	6.191878	3.516059	4.459766	5.746633	3.969463	4.888434	6.24841	5.154341	4.363054	3.641785	4.811474	4.776008	2.724909	2.770666	4.0066
PFKFB3	3.157356	3.396255	2.984125	2.93239	7.199711	2.846435	4.314389	5.405155	7.1338	4.578284	5.716739	2.57498	2.659169	4.105234	3.735056	4.155884	3.778517	3.426124	3.945392	3.26772	4.760485	5.581662	5.467148	6.612868	5.126119	3.588804	2.970338	3.667156	6.384917	3.87057	2.627038	2.997901	3.88524	6.123967	4.290208	3.771355	2.667274	4.818636	3.253317	5.98154	3.538492	2.711654	6.955839	4.631984	4.300497	5.089997	2.907766	5.052254	5.948077	6.753514	3.515001	3.168211	3.482093	2.582442	5.796506	4.859773	3.917963
NETO2	0.974006	4.568267	4.196383	1.301214	2.693097	1.59397	3.596559	3.107214	3.922676	4.187521	5.141571	4.385887	3.701277	3.023175	3.541731	5.461004	2.556065	3.03603	5.646154	3.878362	5.157809	0.1875909	2.453239	5.069035	2.784537	0.274067	1.495049	1.455843	2.399512	2.130335	3.351716	2.933537	0.01477944	2.310747	3.671074	0.560074	1.207348	-0.3582851	0.1518785	1.553674	4.938086	1.981156	3.460015	1.254075	0.8545984	0.8343683	2.711687	2.302748	2.963333	2.681291	0.5172407	3.683555	0.9660312	1.66777	2.821861	0.2432671	1.107434
FGB	1.875505	11.18935	0.5195591	1.034572	11.86021	7.873516	8.948468	7.222422	3.729665	11.40803	1.358151	0.3441925	3.426343	1.666846	0.5287108	2.225233	8.127265	10.24707	5.039456	2.718257	0.54389	1.651777	1.480716	1.3423	1.650661	-0.2724285	2.113562	10.35504	9.302125	1.840099	5.605912	0.07295503	12.58257	8.171733	9.80693	1.428211	6.082036	2.767962	6.759792	13.16278	1.225145	10.61233	9.113669	7.00252	2.590263	1.427568	7.079615	0.4795154	6.486854	1.190806	2.047352	10.91908	6.417156	-0.9462157	-0.5996843	8.308108	-0.6248429
ENC1	4.056781	2.690898	3.461644	1.853877	3.200974	4.332863	4.019196	2.375196	3.956092	2.648252	5.869	7.563622	1.971667	2.962454	4.300174	5.020852	4.11204	2.769871	6.383104	3.073726	3.180341	3.624582	3.307675	5.966764	6.764353	2.480154	6.299279	2.876428	2.562849	3.376866	3.272605	3.28008	1.174665	4.145258	4.943135	2.098507	0.8679149	1.347235	3.155841	2.042301	3.374304	2.151557	4.686688	1.203719	1.939791	3.024127	1.38509	1.701921	4.855836	4.378465	1.600242	-0.06692417	1.506119	1.997487	2.219417	2.089101	1.35437
