model;alpha;beta;gamma;delta;acinar;ductal;hisc;Strength_subtype;Subtype;Confidence_score_dif;Differentiation_score;Strength_de_differentiation;Confidence_score_de_dif
GSM1891288;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;16.2;16.2;17.2;11.1;33.2;6;23.4;33.2;acinar;1.57168045355783e+24;-1.57168045355783e+24;0.7;2.86263181185089e+25
GSM1891289;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;17.3;15.2;17.5;10.9;33.4;5.7;23.4;33.4;acinar;1.45825306171645e+24;-1.45825306171645e+24;0.7;2.71173381219732e+25
GSM1891290;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;20.5;17.5;17.9;13.1;25;6;21.7;25;acinar;2.1946057820445e+24;-2.1946057820445e+24;0.7;3.53747606975832e+25
GSM1891291;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;17.8;17.6;15.8;12.3;29.8;6.6;22.3;29.8;acinar;1.77113287309144e+24;-1.77113287309144e+24;0.7;3.08829177394064e+25
GSM1891292;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;17.7;17.6;16;12.2;30;6.6;22.5;30;acinar;1.74599917798743e+24;-1.74599917798743e+24;0.7;2.96880938160541e+25
GSM1891293;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;21.5;18.6;19.2;13.9;21.1;5.7;20.6;21.5;alpha;1.90717174398667e+24;-1.90717174398667e+24;0.7;3.19510692250878e+25
GSM1891294;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;21.4;18.5;19.4;13.9;21;5.8;20.4;21.4;alpha;1.90144689224738e+24;-1.90144689224738e+24;0.7;3.16349045033044e+25
GSM1891295;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;21.1;18.1;19.2;13.3;22.3;6.1;20.4;22.3;acinar;1.95079698383386e+24;-1.95079698383386e+24;0.7;3.33856806742315e+25
GSM1891296;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;20.9;17.4;19.1;13.5;22.9;6.1;20.5;22.9;acinar;1.91094886993086e+24;-1.91094886993086e+24;0.7;3.25741001783641e+25
GSM1891297;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;20.4;17.7;18.1;13.1;24.6;6;21.6;24.6;acinar;2.17201312537686e+24;-2.17201312537686e+24;0.7;3.57858402736499e+25
GSM1891298;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;20.5;17.8;18;13;24.7;6.1;21.6;24.7;acinar;2.17459383038127e+24;-2.17459383038127e+24;0.7;3.56852214807824e+25
GSM1891299;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;20.5;17.6;18;13.2;24.7;6;21.6;24.7;acinar;2.13753685837219e+24;-2.13753685837219e+24;0.7;3.47195441737555e+25
GSM1891301;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;17.5;18.2;17.2;11.7;30.6;4.9;22.7;30.6;acinar;1.54892442675039e+24;-1.54892442675039e+24;0.7;2.75382885173854e+25
GSM1891302;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;17.4;17.9;17.3;11.6;30.8;5;22.8;30.8;acinar;1.55584501401941e+24;-1.55584501401941e+24;0.7;2.71683037531218e+25
GSM1891303;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;18;16.9;17.4;11.8;29.7;6.1;22.5;29.7;acinar;1.80806338976148e+24;-1.80806338976148e+24;0.7;3.21906435000701e+25
GSM1891304;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;16.9;17.1;17.5;11.2;31.5;5.9;22.4;31.5;acinar;1.57101983101667e+24;-1.57101983101667e+24;0.7;3.01656458184076e+25
GSM1891305;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;15.9;17.5;14;11.9;34.9;5.8;24;34.9;acinar;1.45503212625651e+24;-1.45503212625651e+24;0.7;2.57871797889299e+25
GSM1891306;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;15.7;17;14.9;11;36;5.4;24;36;acinar;1.24526958083201e+24;-1.24526958083201e+24;0.7;2.47496546284774e+25
GSM1891307;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;17.5;17.1;15.2;12.3;31.8;6;23.1;31.8;acinar;1.42234973144791e+24;-1.42234973144791e+24;0.7;2.83776181540714e+25
GSM1891308;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;16.8;16.5;15.2;10.9;35.6;5.1;22.7;35.6;acinar;1.30560763721289e+24;-1.30560763721289e+24;0.7;2.47182484707395e+25
GSM1891309;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;20.6;18.8;17.5;13.5;23.3;6.3;21.1;23.3;acinar;1.8055688620978e+24;-1.8055688620978e+24;0.7;3.07139262015331e+25
GSM1891310;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;20.6;17.2;18.3;12.9;24.4;6.6;21.2;24.4;acinar;1.93164169954949e+24;-1.93164169954949e+24;0.7;3.44520001386692e+25
GSM1891311;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;19.7;17.2;17.5;12.6;26.9;6;21.4;26.9;acinar;2.03024464119891e+24;-2.03024464119891e+24;0.7;3.56758896154125e+25
GSM1891312;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;19.9;16.6;18.5;12.3;26.9;5.7;21.6;26.9;acinar;1.85795624096422e+24;-1.85795624096422e+24;0.7;3.48218604944159e+25
GSM1891313;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;15.2;17.6;13.7;11.3;36.4;5.8;24.1;36.4;acinar;1.36875121018995e+24;-1.36875121018995e+24;0.7;2.51451843386997e+25
GSM1891314;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;19.6;16.3;18.5;12.1;27.4;6.1;21.8;27.4;acinar;1.82879834709292e+24;-1.82879834709292e+24;0.7;3.37591301834693e+25
GSM1891315;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;15.8;17.6;14;11.3;35.9;5.4;23.1;35.9;acinar;1.2134225910629e+24;-1.2134225910629e+24;0.7;2.38226431417861e+25
GSM1891316;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;19.8;16.3;18.8;11.6;27.8;5.6;22;27.8;acinar;1.75408173199152e+24;-1.75408173199152e+24;0.7;3.27448074214201e+25
GSM1891317;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;15.3;16.9;14.4;11.8;35.3;6.3;23.6;35.3;acinar;1.49217876928183e+24;-1.49217876928183e+24;0.7;2.61560740493239e+25
GSM1891318;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;17.9;16.5;16.7;11.9;30.2;6.8;22.4;30.2;acinar;1.68085405412967e+24;-1.68085405412967e+24;0.7;3.12330276163941e+25
